zoneID,money,freq
24029,63920.0,95
24031,7441186.0,13926
24033,507995.0,920
24035,80570.0,142
24037,58200.0,91
24039,2050.0,6
24041,118405.0,182
24043,47030.0,89
24045,40875.0,63
24047,15700.0,24
24510,725771.0,1325
23001,214371.0,458
23003,82604.0,218
23005,1221859.0,2744
23007,25937.0,66
23009,208283.0,512
23011,201107.0,504
23013,241471.0,484
23015,90165.0,218
23017,97309.0,208
23019,467169.0,1027
23021,6150.0,16
23023,71050.0,168
23025,39655.0,96
23027,88253.0,286
23029,39969.0,105
23031,261665.0,555
26001,0,0
26003,0,0
26005,77659.0,125
26007,1800.0,3
26009,4500.0,5
26011,1450.0,3
26013,-1000.0,1
26015,18000.0,38
26017,10200.0,22
26019,2900.0,8
26021,181060.0,343
26023,2500.0,7
26025,10950.0,21
26027,20077.0,37
26029,8574.0,16
26031,3764.0,9
26033,22500.0,43
26035,1183.0,3
26037,4150.0,14
26039,0,0
26041,14000.0,26
26043,30450.0,42
26045,14190.0,30
26047,16050.0,33
26049,127485.0,251
26051,1548.0,4
26053,5000.0,7
26055,21504.0,48
26057,5095.0,15
26059,9150.0,21
26061,2250.0,5
26063,1500.0,3
26065,234720.0,479
26067,4550.0,12
26069,250.0,1
26071,400.0,1
26073,99680.0,131
26075,29961.0,60
26077,226635.0,446
26079,1250.0,4
26081,380890.0,681
26083,1000.0,1
26085,300.0,1
26087,32760.0,59
26089,15150.0,35
26091,27343.0,55
26093,185307.0,460
26095,200.0,1
26097,16715.0,35
26099,807711.0,1238
26101,11470.0,17
26103,13700.0,37
26105,10917.0,21
26107,3650.0,9
26109,5500.0,11
26111,93585.0,195
26113,1200.0,2
26115,20400.0,34
26117,9050.0,15
26119,0,0
26121,20975.0,44
26123,6890.0,16
26125,4841314.0,7690
26127,6301.0,19
26129,0,0
26131,800.0,2
26133,7350.0,15
26135,0,0
26137,8250.0,13
26139,95065.0,173
26141,0,0
26143,1700.0,6
26145,26010.0,48
26147,87537.0,135
26149,7700.0,15
26151,2500.0,7
26153,4000.0,5
26155,17150.0,36
26157,5950.0,69
26159,14372.0,32
26161,670909.0,1432
26163,1708272.0,2645
26165,3475.0,11
27001,2450.0,7
27003,157537.0,339
27005,8400.0,20
27007,15565.0,31
27009,9350.0,22
27011,700.0,2
27013,64380.0,125
27015,21102.0,53
27017,24955.0,39
27019,115890.0,216
27021,7600.0,13
27023,1950.0,7
27025,10505.0,30
27027,13175.0,27
27029,3900.0,9
27031,12165.0,31
27033,1800.0,5
27035,23058.0,46
27037,597841.0,1235
27039,8025.0,16
27041,8500.0,17
27043,17600.0,20
27045,4725.0,11
27047,11350.0,26
27049,43350.0,88
27051,3765.0,6
27053,5293348.0,9889
27055,13150.0,30
27057,2600.0,9
27059,3687.0,11
27061,10038.0,20
27063,3500.0,9
27065,5050.0,10
