zoneID	money	freq
72001	0	0
72003	0	0
72005	0	0
72007	0	0
72009	0	0
72011	0	0
72013	0	0
72015	0	0
72017	0	0
72019	0	0
72021	500.0	1
72023	0	0
72025	0	0
72027	0	0
72029	0	0
72031	8800.0	8
72033	0	0
72035	5050.0	19
72037	0	0
72039	0	0
72041	0	0
72043	0	0
72045	0	0
72047	0	0
72049	0	0
72051	2000.0	2
72053	0	0
72054	0	0
72055	0	0
72057	0	0
72059	0	0
72061	40250.0	39
72063	0	0
72065	0	0
72067	0	0
72069	500.0	1
72071	0	0
72073	0	0
72075	0	0
72077	0	0
72079	0	0
72081	0	0
72083	0	0
72085	0	0
72087	0	0
72089	200.0	1
72091	0	0
72093	0	0
72095	0	0
72097	0	0
72099	0	0
72101	0	0
72103	0	0
72105	0	0
72107	0	0
72109	0	0
72111	500.0	1
72113	750.0	2
72115	0	0
72117	0	0
72119	0	0
72121	0	0
72123	0	0
72125	0	0
72127	146850.0	140
72129	1000.0	1
72131	0	0
72133	0	0
72135	0	0
72137	0	0
72139	9000.0	5
72141	0	0
72143	0	0
72145	0	0
72147	0	0
72149	0	0
72151	0	0
72153	0	0
